Jname & ref
J0030+0451 & G, L, g, P
J0034-0534 & M, G, L, g, P
J0034-0721 & P, E, l, U, M, L
J0038-2501 & g
J0051+0423 & U, L, g
J0133-6957 & 
J0134-2937 & 
J0151-0635 & P, U, G
J0152-1637 & l, P, G, L
J0206-4028 & M
J0255-5304 & 
J0304+1932 & P, l, L
J0401-7608 & 
J0418-4154 & M, G
J0437-4715 & M
J0450-1248 & P
J0452-1759 & P, M
J0459-0210 & L, g
J0514-4408 & G
J0520-2553 & g
J0528+2200 & L, P, E, l, P
J0534+2200 & P, E, L
J0600-5756 & 
J0601-0527 & P
J0624-0424 & P, L
J0630-2834 & E, l, P, M, L
J0636-4549 & 
J0702-4956 & G
J0729-1448 & g
J0729-1836 & 
J0737-3039A & M, L, g
J0742-2822 & P, M
J0749-4247 & 
J0758-1528 & P
J0820-1350 & l, P, M, L
J0820-3921 & g
J0820-4114 & M
J0826+2637 & L, P, E, l, U, M
J0835-4510 & E, M
J0837+0610 & L, P, E, l, P, M, U
J0837-4135 & M
J0838-3947 & 
J0842-4851 & 
J0855-3331 & M
J0856-6137 & M
J0902-6325 & 
J0904-7459 & 
J0905-6019 & 
J0907-5157 & M, G
J0908-1739 & P, l, L
J0922+0638 & L, P, M, U
J0924-5302 & M, G
J0924-5814 & 
J0930-2301 & g
J0942-5552 & M
J0942-5657 & M
J0943+1631 & P, U, L
J0944-1354 & P
J0946+0951 & L, P, E, U
J0953+0755 & L, P, E, U, M
J0955-5304 & 
J0959-4809 & M
J1003-4747 & G
J1012-2337 & M
J1018-1642 & P
J1022+1001 & M, L, P
J1034-3224 & g
J1041-1942 & 
J1057-5226 & , M
J1059-5742 & 
J1112-6926 & M
J1116-4122 & M
J1121-5444 & M
J1123-4844 & 
J1123-6651 & 
J1136+1551 & L, P, E, l, U, M
J1136-5525 & 
J1141-6545 & M
J1146-6030 & 
J1202-5820 & 
J1224-6407 & 
J1225-5556 & 
J1239-6832 & 
J1240-4124 & G
J1257-1027 & P
J1300+1240 & P, L, g
J1311-1228 & P
J1312-5402 & 
J1313+0931 & L
J1320-5359 & G
J1328-4357 & 
J1332-3032 & g
J1335-3642 & g
J1340-6456 & 
J1355-5153 & 
J1418-3921 & g
J1430-6623 & M
J1440-6344 & M
J1453-6413 & M
J1455-3330 & 
J1456-6843 & M
J1507-4352 & M
J1510-4422 & 
J1527-3931 & g
J1534-5334 & M
J1536-4948 & 
J1543+0929 & L, P, E, l, M
J1543-0620 & P, l, U, M, L, g
J2048-1616 & P, M
J2108-3429 & g
J2145-0750 & P, M, L
J2155-3118 & M
J2222-0137 & L, g
J2234+2114 & P, L, g
J2241-5236 & M
J2248-0101 & P, L, g
J2317+2149 & L, P, U
J2324-6054 & 
J2325-0530 & g
J2330-2005 & l, P, L
J2336-01 & 
J2354-22 & g
